,funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,is_successful,category
8301,1065750.0,ESP,29,Madrid,Boadilla Del Monte,3,2010-06-01,2010-05-01,2015-01-21,0,E-Commerce
8303,2200000.0,USA,PA,Pittsburgh,Pittsburgh,1,2007-01-01,2015-03-26,2015-03-26,0,Bioinformatics
8304,6400000.0,USA,UT,Salt Lake City,American Fork,1,1995-01-01,2015-12-03,2015-12-03,0,Information Technology
8305,18139599.0,USA,NY,New York City,New York,5,2004-01-01,2012-07-27,2014-07-24,1,Biotechnology
8306,11800000.0,ISR,6,Tel Aviv,Jerusalem,1,2003-01-01,2014-03-11,2014-03-11,1,Health and Wellness
8308,69000000.0,USA,IL,Chicago,Chicago,2,2007-10-01,2011-06-29,2012-09-17,1,Accounting
8309,40000.0,IND,19,Bangalore,Bangalore,1,2012-01-01,2013-11-19,2013-11-19,0,Education
8310,1250000.0,USA,TN,Nashville,Franklin,1,2006-03-10,2008-05-01,2008-05-01,0,Game
8312,50000.0,USA,FL,Fort Myers,Sanibel,1,2014-02-17,2014-02-01,2014-02-01,0,Automotive
8313,9050000.0,USA,CA,SF Bay Area,South San Francisco,14,2003-01-01,2009-05-20,2013-02-25,0,Software
8314,66000000.0,USA,OR,Medford,Ashland,5,2002-01-01,2010-09-22,2014-09-25,0,Automotive
8315,2000000.0,USA,NY,New York City,New York,1,2011-09-01,2012-03-06,2012-03-06,1,Curated Web
8316,18050000.0,USA,CA,SF Bay Area,Palo Alto,3,2014-04-15,2014-06-01,2015-02-26,0,Software
8317,436818.0,USA,WI,Madison,Middleton,3,2014-01-01,2014-03-04,2015-08-13,0,Health Care
8319,1350170.0,USA,NY,New York City,New York,6,2013-01-01,2014-05-25,2015-06-15,0,Charter Schools
8321,49000000.0,USA,CA,SF Bay Area,San Francisco,3,2010-07-01,2010-09-17,2012-04-19,1,Career Management
8323,68627.0,LVA,25,Riga,Riga,2,2009-01-01,2014-05-14,2014-12-03,0,Game
8324,6101427.0,DEU,1,Frankfurt,Heidelberg,3,2012-12-01,2013-04-11,2014-11-11,0,Analytics
8325,27500000.0,USA,CA,Anaheim,Irvine,2,2007-01-01,2010-08-24,2012-05-02,0,Advertising
8328,1000000.0,USA,CA,SF Bay Area,San Francisco,1,2011-07-18,2014-02-19,2014-02-19,0,Analytics
8329,5000.0,MDA,57,Chisinau,Chisinau,1,2013-07-07,2015-01-07,2015-01-07,0,Android
8330,10000005.0,RUS,66,St. Petersburg,Saint Petersburg,2,2011-01-01,2012-05-01,2014-12-01,0,E-Commerce
8331,27000000.0,USA,CA,SF Bay Area,San Mateo,3,2007-01-01,2007-11-12,2010-06-22,1,Advertising
8332,68000000.0,USA,MA,Boston,Boston,1,2006-01-01,2013-06-06,2013-06-06,0,Data Integration
8333,15000000.0,USA,CA,SF Bay Area,Mill Valley,1,2004-01-01,2005-02-15,2005-02-15,0,Specialty Foods
8334,1660000.0,USA,OH,"Columbus, Ohio",Dublin,3,2006-07-06,2008-04-10,2009-01-28,0,Brand Marketing
8335,200000.0,USA,NY,New York City,New York,1,2013-07-10,2013-11-20,2013-11-20,0,E-Commerce
8337,180000.0,USA,CA,SF Bay Area,Emeryville,1,2011-10-01,2011-10-14,2011-10-14,1,Advertising
8338,150000.0,CAN,BC,Vancouver,Vancouver,1,2012-04-15,2013-03-09,2013-03-09,0,Digital Media
8340,500000.0,USA,CA,SF Bay Area,Palo Alto,2,2011-08-01,2011-10-13,2012-02-01,0,Advertising
8342,3300000.0,USA,CA,SF Bay Area,San Francisco,2,2012-06-01,2012-01-01,2013-01-01,0,Enterprise Software
8345,4380000.0,USA,CA,"Orange County, California",Santa Ana,2,2009-01-01,2014-04-30,2014-04-30,0,Internet
8347,175769.0,GBR,H8,Liverpool,Liverpool,1,2012-04-01,2013-08-06,2013-08-06,0,Advertising
8349,6600000.0,PHL,53,Manila,Pasig,2,1999-02-01,2009-04-23,2009-12-02,0,Advertising
8351,3118000.0,USA,CO,Denver,Denver,3,2012-11-01,2013-03-01,2015-01-20,0,Brand Marketing
8352,96774.0,CAN,ON,Montreal,Montréal,1,2013-01-01,2012-06-01,2012-06-01,0,E-Commerce
8353,2312671.0,GBR,H9,London,London,3,2013-01-01,2012-08-16,2014-09-25,0,Fashion
8354,20395.0,EST,1,Tallinn,Tallinn,1,2013-01-01,2013-02-01,2013-02-01,0,Entertainment
8355,17000000.0,USA,PA,Pittsburgh,Pittsburgh,2,2008-03-01,2012-10-01,2013-09-19,0,Apps
8357,500000.0,USA,CA,SF Bay Area,San Ramon,1,2013-01-01,2013-01-01,2013-01-01,0,Big Data
8359,1050000.0,USA,CA,Napa Valley,Petaluma,1,2011-09-01,2013-02-25,2013-02-25,0,Brand Marketing
8361,1715000.0,USA,OR,"Portland, Oregon",Portland,4,2010-07-25,2010-07-01,2013-09-11,0,Mass Customization
8363,1609875.0,IRL,7,Dublin,Dublin,1,2005-01-01,2006-08-17,2006-08-17,0,Messaging
8364,30000000.0,DEU,1,Frankfurt,Karlsruhe,1,1999-01-01,2014-09-23,2014-09-23,0,Software
8365,25025.0,MEX,9,Mexico City,Mexico City,1,2011-03-11,2013-11-01,2013-11-01,0,Advertising
8368,12000000.0,CAN,ON,Toronto,Toronto,1,2013-01-01,2013-08-03,2013-08-03,0,Venture Capital
8369,58000.0,PRI,,Puerto Rico,San Juan,1,2014-07-11,2015-10-19,2015-10-19,0,
8371,17000000.0,BRA,2,Sao Paulo,São Paulo,2,2009-03-05,2009-05-01,2010-05-17,0,E-Commerce
8375,53087864.0,IRL,7,Dublin,Dublin,3,2009-01-01,2011-08-01,2015-06-08,0,Advertising
8376,120000.0,CAN,BC,Vancouver,Vancouver,2,2012-01-01,2009-01-01,2011-08-16,0,Marketing Automation
8377,227793.0,GBR,H9,London,London,2,2013-01-01,2015-01-07,2015-04-27,0,Analytics
